symbol,regime,vol_ratio,rsi_strength,rsi_div_regular,rsi_div_hidden,macd_div,sentiment_fg,mtf_bias,confluence_score,entry_to_sl,direction_encoded,outcome_win,duration_candles,r_multiple
LINKUSDT,VOLATILE,1.2582862161717066,0.13103448275862134,0,0,0,50,0.0,0.07,1.500004260504272,1.0,0,31,-1.0
LINKUSDT,NORMAL,0.8470826306913983,0.523035230352304,1,0,0,50,0.0,0.07,1.4999999999999944,1.0,0,1,-1.0
LINKUSDT,NORMAL,0.8660514602106199,0.416666666666666,1,0,1,50,0.0,0.07,1.500000000000001,-1.0,0,7,-1.0
LINKUSDT,NORMAL,0.8844942519781464,0.04961832061068719,0,0,0,50,0.0,0.07,1.50000000000001,-1.0,0,17,1.189
ADAUSDT,NORMAL,0.9045893719806769,0.3333333333333334,1,0,0,50,0.0,0.07,1.5002474022760908,-1.0,0,2,-1.0
ADAUSDT,NORMAL,0.8949075719872034,0.07692307692307622,0,0,0,50,0.0,0.07,1.50000000000002,-1.0,1,1,1.333
ADAUSDT,NORMAL,0.9632213062777443,0.02777777777777473,1,0,1,50,0.0,0.07,1.5000000000000075,-1.0,1,2,1.333
ADAUSDT,NORMAL,1.0315789473684236,0.2748538011695916,0,0,0,50,0.0,0.08,1.5001917913310203,-1.0,0,3,-1.0
ADAUSDT,NORMAL,1.1098606140516134,0.06756756756756772,0,0,0,50,0.0,0.07,1.500000000000013,-1.0,1,2,1.333
ADAUSDT,VOLATILE,1.23629760596359,0.11250000000000199,0,0,0,50,0.0,0.08,1.5001719986240123,-1.0,0,4,-1.0
ADAUSDT,VOLATILE,1.449440886934916,0.10588235294117496,0,0,0,50,0.0,0.08,1.4998434074538187,-1.0,0,1,-1.0
ADAUSDT,VOLATILE,1.5503688989784357,0.4111675126903566,1,0,1,50,0.0,0.09,1.5001446340757951,-1.0,0,20,-1.0
ADAUSDT,NORMAL,1.0681778704186216,0.4782608695652169,1,0,1,50,0.0,0.07,1.4999999999999911,1.0,0,2,-1.0
ADAUSDT,NORMAL,1.0153254505797276,0.5450236966824662,1,0,0,50,0.0,0.07,1.500180440274277,1.0,1,4,1.333
ADAUSDT,NORMAL,0.8415176598815819,0.418181818181821,0,0,0,50,0.0,0.07,1.4998329435349218,-1.0,1,6,1.333
ADAUSDT,NORMAL,0.8151077174802303,0.3623188405797094,0,0,0,50,0.0,0.07,1.499999999999994,1.0,1,5,1.333
